State,Date of update,Link,UI for work closures,UI for work closures notes,UI/DI for quarantine,UI/DI for quarantine notes,UI/DI for illness,UI/DI for caretaking,UI/DI for illness/family illness,UI/DI for illness/family notes,UI for school closures,UI for school closures notes,UI/DI for 1099 or gig economy,UI/DI for 1099 or gig economy notes,Date,Link,Emergency Worker Classification Expanded,Emergency Worker Classification Expanded Notes,Date,Link,New sick pay law in place,Sick pay notes,Reimbursement for employers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MN - Minn/St. Paul,3/19,https://www.uimn.org/applicants/needtoknow/news-updates/covid-19.jsp,Yes,Full access to benefits,Yes,Will receive 14 days of pay if forced to quarantine,,,,,,,,,,,,,,,yes,Don't have to use all sick pay before applying for UI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MO,3/19,https://labor.mo.gov/coronavirus,Yes,If unemployed due to no fault of their own,Yes,Eligible for pay if forced to quarantine for suspicious of having virus,No,,No,"Won't receive UI if ill, counts as unavailable for work",No,Won't receive pay if childcare is lost,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MO - St. Louis,3/19,https://www.mo.gov/work/unemployment/,Yes,St. Louis Claims Center: 314-340-4950,Yes,Eligible for pay if forced to quarantine for suspicious of having virus,No,,No,"Won't receive UI if ill, counts as unavailable for work",No,Won't receive pay if childcare is lost,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NJ,3/19,https://www.natlawreview.com/article/state-and-federal-government-pressed-to-meet-unemployment-demands-due-to-coronavirus,Yes,Temp UI for employees out of work because of coronavirus/caring for sick family member/child whose school closed,Yes,If diagnosed with covid-19 or asked to quarantine,Yes,Yes,Yes,"Yes for self or caring for child, may use private short term disability insurance if signed up",Yes,Requires school districts to provide school meals or meal vouchers to students eligible for free and reduced price school meals during school closures due to COVID-19 epidemic.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NM,3/19,https://www.dws.state.nm.us/Portals/0/DM/UI/COVID-19%20UI%20Fact%20Sheet.pdf,Yes,If out of work or asked to quarantine,Yes,If asked to quarantine,,Yes,Yes,Yes if caring for family member,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NV,3/19,https://news3lv.com/news/local/governor-sisolak-waives-requirements-to-apply-for-unemployment-benefits,Yes,Requirements waived,Yes,Offering pay for worked missed from quarantine,,,Yes,,,,,,,,,,,,Yes,can use Sick leave if their workplace or child’s school or daycare is closed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NV - Las Vegas,3/19,https://news3lv.com/news/local/governor-sisolak-waives-requirements-to-apply-for-unemployment-benefits,Yes,Requirements waived,Yes,Offering pay for worked missed from quarantine,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NY,3/19,https://www.natlawreview.com/article/state-and-federal-government-pressed-to-meet-unemployment-demands-due-to-coronavirus,Yes,7 day waiting period waived,Yes,bill signed guaranteeing job protection/pay for those who are quarantined,,,Yes,May use private short term disability if signed up for it,,,,,,,,,,,yes,new bill introduced that requires 7at least 7 days paid leave,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NY - NYC,3/19,https://coronavirus.health.ny.gov/home,Yes,,Yes,bill signed guaranteeing job protection/pay for those who are quarantined,,,Yes,May use private short term disability if signed up for it,,,,,,,,,,,yes,new bill introduced that requires 7at least 7 days paid leave,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OH,3/19,http://jfs.ohio.gov/ouio/CoronavirusAndUI.stm,Yes,Waiting period waived,Yes,will recevie benefits if quarantined,Maybe,No,No,"May qailify if ill, unlikley if caretaking",,,,,,,,,,,yes,eligible for sick pay while sick at home/quarantined,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OR,3/18,https://www.oregon.gov/employ/Pages/COVID-19.aspx,Yes,,Yes,,Yes,Yes,Yes,"Generally yes, case by case if severely ill and hospitalized",,,,,,,,,,,yes,eligible for sick pay while sick at home/quarantined,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PA,,,Yes,,Yes,,Maybe,Maybe,Yes,"Unclear on unemployment website, maybe",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PA - Philly,3/18,https://www.uc.pa.gov/Pages/covid19.aspx,Yes,,Yes,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TX - Austin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TX - Dallas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WA,3/18,https://esd.wa.gov/newsroom/covid-19,Yes,,Yes,,Yes,Yes,Yes,"UI for mild illness, WA Paid Family and Medical Leave for severe illness or caretaking",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WA - Seattle,,,Yes,,Yes,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WI,3/18,https://dwd.wisconsin.gov/covid19/public/ui.htm,Yes,,Yes,,Yes,Yes,Yes,"Generally yes, not eligible for UI if severely ill, may be eligible for Disaster Unemployment Assistance if severely ill/national disaster",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
