year,city,state,population,female,age,hhincome,sanctuary
2005,"charleston-north charleston, sc",sc,601429,1.5169895887374878,35,50000,NA
2005,"charlotte-concord-gastonia, nc-sc",nc,1519448,1.5053975582122803,35,53000,NA
2005,"charlottesville, va",va,187823,1.5274802446365356,35,57000,NA
2005,"chattanooga, tn-ga",tn,502842,1.5144931077957153,37,47000,NA
2005,"chicago-naperville-elgin, il-in-wi",il,9362080,1.5079222917556763,34,63000,0
2005,"chico, ca",ca,214831,1.5093073844909668,34,42800,0
2005,"cincinnati, oh-ky-in",oh,2102422,1.5067485570907593,36,58000,NA
2005,"clarksville, tn-ky",tn,251845,1.5174696445465088,31,46300,NA
2005,"cleveland-elyria, oh",oh,2118249,1.517336368560791,38,54900,NA
2005,"college station-bryan, tx",tx,196445,1.4961426258087158,24,34200,NA
2005,"colorado springs, co",co,588385,1.4990288019180298,33,61000,NA
2005,"columbia, mo",mo,156240,1.514441967010498,32,47090,NA
2005,"columbia, sc",sc,691990,1.5238642692565918,35,53400,NA
2005,"columbus, oh",oh,1714463,1.5096875429153442,34,56100,NA
2005,"corpus christi, tx",tx,410253,1.5198783874511719,34,43000,NA
2005,"dallas-fort worth-arlington, tx",tx,5816407,1.4996511936187744,32,54500,NA
2005,"daphne-fairhope-foley, al",al,162564,1.4966555833816528,41,50000,NA
2005,"davenport-moline-rock island, ia-il",ia,372916,1.5002962350845337,37,50600,NA
2005,"dayton, oh",oh,843575,1.5116899013519287,38,52000,NA
2005,"decatur, al",al,147244,1.5184613466262817,39,45000,NA
2005,"decatur, il",il,109582,1.5352885723114014,38,50004,NA
2005,"deltona-daytona beach-ormond beach, fl",fl,485940,1.5115588903427124,42,45900,NA
2005,"denver-aurora-lakewood, co",co,2353518,1.4990438222885132,34,62800,NA
2005,"des moines-west des moines, ia",ia,522760,1.5029559135437012,36,59300,NA
2005,"detroit-warren-dearborn, mi",mi,4494398,1.5113950967788696,36,60000,NA
2005,"dover, de",de,143294,1.5195680856704712,35,52000,NA
2005,"durham-chapel hill, nc",nc,458118,1.5066791772842407,34,54000,NA
2005,"eau claire, wi",wi,154674,1.5134073495864868,36,52150,NA
2005,"elkhart-goshen, in",in,193541,1.5036985874176025,33,50000,NA
2005,"el paso, tx",tx,708683,1.5161950588226318,30,33200,NA
2005,"erie, pa",pa,278933,1.5043606758117676,37,49000,0
2005,"eugene, or",or,NA,1.5067713260650635,37,47300,NA
2005,"evansville, in-ky",in,347636,1.5130817890167236,37,53000,NA
2005,"fayetteville, nc",nc,344849,1.530392050743103,33,42200,NA
2005,"fayetteville-springdale-rogers, ar-mo",ar,413777,1.4908480644226074,34,50000,NA
2005,"flagstaff, az",az,124804,1.50608229637146,31,44390,NA
2005,"flint, mi",mi,439216,1.5147278308868408,36,50700,NA
2005,"florence-muscle shoals, al",al,141836,1.5043823719024658,40,41001,NA
2005,"fort collins, co",co,275477,1.4898298978805542,33,58000,NA
2005,"fort wayne, in",in,402638,1.5020496845245361,35,53000,NA
2005,"fresno, ca",ca,867438,1.503275752067566,29,45600,0
2005,"gadsden, al",al,102602,1.5137149095535278,38,40000,NA
2005,"gainesville, fl",fl,248066,1.5136590003967285,29,44600,NA
2005,"glens falls, ny",ny,127392,1.4984385967254639,39,54400,NA
2005,"goldsboro, nc",nc,113221,1.5199239253997803,37,43000,NA
2005,"grand junction, co",co,129457,1.5097692012786865,35,45000,NA
2005,"grand rapids-wyoming, mi",mi,767149,1.5021378993988037,34,58000,NA
2005,"greeley, co",co,NA,1.4999643564224243,30,55000,NA
2005,,,NA,1.5112450122833252,35,59000,NA
2005,"greensboro-high point, nc",nc,673638,1.508110523223877,36,47940,NA
2005,"greenville, nc",nc,163933,1.524902582168579,31,39000,NA
2005,"greenville-anderson-mauldin, sc",sc,590654,1.5104026794433594,37,47700,NA
2005,"gulfport-biloxi-pascagoula, ms",ms,NA,1.5173194408416748,36,45400,NA
2005,"harrisburg-carlisle, pa",pa,520431,1.5177149772644043,39,60000,NA
2005,"hartford-west hartford-east hartford, ct",ct,1178556,1.5186402797698975,39,74000,0
2005,"hattiesburg, ms",ms,131889,1.525864839553833,32,35000,NA
2005,"hickory-lenoir-morganton, nc",nc,353589,1.505794882774353,37,42100,NA
2005,"houma-thibodaux, la",la,NA,1.5062801837921143,35,45200,NA
2005,"houston-the woodlands-sugar land, tx",tx,5299567,1.5041297674179077,32,51100,NA
2005,"huntsville, al",al,370064,1.5160300731658936,37,59000,NA
2005,"indianapolis-carmel-anderson, in",in,1645027,1.507554531097412,35,57000,NA
2005,"iowa city, ia",ia,142228,1.5456817150115967,29,49600,NA
2005,"jackson, mi",mi,162530,1.5004220008850098,37,57430,NA
2005,"jackson, ms",ms,521493,1.5257772207260132,34,48000,NA
2005,"jackson, tn",tn,110772,1.512288212776184,36,46000,NA
2005,"jacksonville, fl",fl,1248524,1.5123802423477173,36,54500,NA
2005,"jacksonville, nc",nc,158942,1.5173577070236206,29,42460,NA
2005,"janesville-beloit, wi",wi,NA,1.4959373474121094,37,56100,NA
2005,"johnstown, pa",pa,146726,1.5217944383621216,42,40900,NA
2005,"joplin, mo",mo,165910,1.5091160535812378,34,41200,NA
2005,"kalamazoo-portage, mi",mi,320539,1.5049972534179688,34,52200,NA
2005,"kankakee, il",il,NA,1.517154574394226,35,51600,NA
2005,"kansas city, mo-ks",mo,1958504,1.5096598863601685,35,60000,0
2005,"kennewick-richland, wa",wa,NA,1.4959070682525635,34,53500,NA
2005,"killeen-temple, tx",tx,NA,1.513189673423767,29,44500,NA
2005,"kingsport-bristol-bristol, tn-va",tn,300078,1.5120512247085571,41,41100,NA
2005,"knoxville, tn",tn,658316,1.5074011087417603,38,46000,NA
2005,"la crosse-onalaska, wi-mn",wi,NA,1.5099525451660156,33,48804,NA
2005,"lafayette, la",la,247352,1.5146046876907349,33,44000,NA
2005,"lake charles, la",la,193975,1.518897533416748,35,41800,NA
2005,"lake havasu city-kingman, az",az,185940,1.513685941696167,42,40700,NA
2005,"lakeland-winter haven, fl",fl,538638,1.5084662437438965,38,44700,NA
2005,"lancaster, pa",pa,489258,1.5123569965362549,36,57850,NA
2005,"lansing-east lansing, mi",mi,456491,1.51840078830719,34,53000,NA
2005,"laredo, tx",tx,220968,1.5197995901107788,26,33600,NA
2005,"las cruces, nm",nm,189265,1.5170457363128662,31,30010,NA
2005,"las vegas-henderson-paradise, nv",nv,1708846,1.4944759607315063,34,56000,NA
2005,"lebanon, pa",pa,124819,1.5121314525604248,41,59500,NA
2005,"lewiston-auburn, me",me,106560,1.5168870687484741,39,50200,NA
2005,,,NA,1.5057848691940308,34,51700,NA
2005,"lincoln, ne",ne,284161,1.510870337486267,33,55010,NA
2005,"little rock-north little rock-conway, ar",ar,645679,1.510890007019043,35,49260,NA
2005,"los angeles-long beach-anaheim, ca",ca,12761175,1.5027493238449097,33,56800,0
2005,"louisville/jefferson county, ky-in",ky,1209493,1.5141769647598267,37,51000,NA
2005,"lubbock, tx",tx,262771,1.5115838050842285,30,41100,NA
2005,"lynchburg, va",va,235987,1.512191891670227,40,48000,NA
2005,"madera, ca",ca,NA,1.4773584604263306,32,52000,0
2005,,,NA,1.5039423704147339,35,60700,NA
2005,"manchester-nashua, nh",nh,398927,1.516414999961853,38,69680,NA
2005,"mansfield, oh",oh,126946,1.5177403688430786,38,49500,NA
2005,"mcallen-edinburg-mission, tx",tx,665475,1.517746090888977,26,25200,NA
2005,"medford, or",or,194087,1.507088541984558,40,49000,NA
2005,"memphis, tn-ms-ar",tn,1261429,1.5192453861236572,34,47000,NA
2005,"merced, ca",ca,237901,1.4912830591201782,28,45770,0
2005,"miami-fort lauderdale-west palm beach, fl",fl,5443159,1.5119456052780151,38,50000,NA
2005,"midland, tx",tx,120487,1.5235517024993896,34,46000,NA
2005,"milwaukee-waukesha-west allis, wi",wi,1536320,1.5117077827453613,36,57800,0
2005,"minneapolis-st. paul-bloomington, mn-wi",mn,3132772,1.501283884048462,35,70000,0
2005,"mobile, al",al,398369,1.522215723991394,36,41600,NA
2005,"modesto, ca",ca,498592,1.4984649419784546,31,52730,0
2005,"monroe, la",la,171172,1.5185179710388184,33,40100,NA
2005,"monroe, mi",mi,152234,1.4936397075653076,38,64000,NA
2005,"montgomery, al",al,356229,1.5198290348052979,34,48400,NA
2005,"muncie, in",in,116737,1.5347826480865479,35,39570,NA
2005,"muskegon, mi",mi,NA,1.5075844526290894,36,50000,NA
2005,"napa, ca",ca,129859,1.5031927824020386,37,75000,0
2005,"naples-immokalee-marco island, fl",fl,306640,1.4943476915359497,43,55900,NA
2005,"nashville-davidson--murfreesboro--franklin, tn",tn,1450538,1.5094627141952515,35,55800,NA
2005,"new haven-milford, ct",ct,839408,1.5138487815856934,38,65000,0
2005,"new orleans-metairie, la",la,1313460,1.5193016529083252,36,46430,NA
2005,"new york-newark-jersey city, ny-nj-pa",ny,18798114,1.5165311098098755,37,67000,0
2005,"niles-benton harbor, mi",mi,160310,1.4918261766433716,37,43600,NA
2005,"north port-sarasota-bradenton, fl",fl,668200,1.5184942483901978,45,51000,NA
2005,"norwich-new london, ct",ct,265443,1.4993637800216675,38,70000,0
2005,"ocala, fl",fl,301714,1.5076454877853394,43,41760,NA
2005,"ocean city, nj",nj,98558,1.5080649852752686,43,60000,NA
2005,"odessa, tx",tx,124187,1.5111923217773438,31,38000,NA
2005,"ogden-clearfield, ut",ut,491114,1.4962724447250366,29,59000,NA
2005,"oklahoma city, ok",ok,1155093,1.5026545524597168,35,46950,NA
2005,"olympia-tumwater, wa",wa,NA,1.5079035758972168,36,60510,NA
2005,"omaha-council bluffs, ne-ia",ne,810493,1.5093926191329956,35,55930,0
2005,"orlando-kissimmee-sanford, fl",fl,1939766,1.5067198276519775,35,51000,NA
2005,"owensboro, ky",ky,110943,1.506726622581482,37,47720,NA
2005,"oxnard-thousand oaks-ventura, ca",ca,786058,1.4976212978363037,34,72000,0
2005,"palm bay-melbourne-titusville, fl",fl,526088,1.505811333656311,42,48500,NA
2005,"panama city, fl",fl,NA,1.5012751817703247,39,46200,NA
2005,"pensacola-ferry pass-brent, fl",fl,444840,1.5232422351837158,38,48600,NA
2005,"peoria, il",il,367334,1.517498254776001,37,56000,NA
2005,"philadelphia-camden-wilmington, pa-nj-de-md",pa,5850621,1.5159026384353638,37,64680,0
2005,"phoenix-mesa-scottsdale, az",az,3884588,1.4933538436889648,33,54361,0
2005,"pittsburgh, pa",pa,2372328,1.5235105752944946,41,51500,0
2005,"pittsfield, ma",ma,131268,1.5327364206314087,42,62200,NA
2005,"portland-south portland, me",me,511498,1.5119822025299072,40,60200,NA
2005,"portland-vancouver-hillsboro, or-wa",or,2084053,1.5016233921051025,35,57000,0
2005,"port st. lucie, fl",fl,376043,1.514973759651184,43,50000,NA
2005,"providence-warwick, ri-ma",ri,1609677,1.514809489250183,38,62300,0
2005,"provo-orem, ut",ut,463583,1.5067577362060547,25,53200,NA
2005,"pueblo, co",co,149677,1.4983516931533813,36,41450,NA
2005,"punta gorda, fl",fl,153407,1.518330454826355,52,44400,NA
2005,"racine, wi",wi,197025,1.494547724723816,37,59000,NA
2005,"raleigh, nc",nc,953157,1.5037150382995605,34,63000,NA
2005,"reading, pa",pa,393788,1.5105063915252686,38,57800,0
2005,"redding, ca",ca,177537,1.511455774307251,39,49000,0
2005,"reno, nv",nv,394881,1.5030499696731567,36,56400,NA
2005,"richmond, va",va,1174017,1.5194631814956665,37,63300,0
2005,"riverside-san bernardino-ontario, ca",ca,3861335,1.5026450157165527,30,56900,0
2005,"roanoke, va",va,292054,1.5290446281433105,41,50300,NA
2005,"rochester, ny",ny,1033470,1.5094184875488281,38,53800,NA
2005,"rockford, il",il,338877,1.4961398839950562,35,55000,NA
2005,"rocky mount, nc",nc,143826,1.5294852256774902,37,38600,NA
2005,"sacramento--roseville--arden-arcade, ca",ca,2028664,1.507883906364441,34,61000,0
2005,"saginaw, mi",mi,NA,1.5175377130508423,38,49000,NA
2005,"st. cloud, mn",mn,181477,1.5012177228927612,34,58700,NA
2005,"st. louis, mo-il",mo,2773155,1.5147958993911743,37,57200,NA
2005,"salinas, ca",ca,405090,1.4966939687728882,31,60800,0
2005,"salt lake city, ut",ut,1044845,1.4945225715637207,30,57000,NA
2005,"san angelo, tx",tx,106662,1.5263117551803589,34,42000,NA
2005,"san antonio-new braunfels, tx",tx,1878120,1.5153958797454834,33,47900,NA
2005,"san diego-carlsbad, ca",ca,2941770,1.5002747774124146,34,64000,0
2005,"san francisco-oakland-hayward, ca",ca,4149607,1.5097479820251465,37,77300,0
2005,"san jose-sunnyvale-santa clara, ca",ca,1737313,1.4879837036132812,35,87000,0
2005,"san luis obispo-paso robles-arroyo grande, ca",ca,NA,1.5013740062713623,38,54500,0
2005,"santa cruz-watsonville, ca",ca,248957,1.5036078691482544,37,71100,0
2005,"santa fe, nm",nm,139809,1.507920503616333,39,50000,NA
2005,"santa maria-santa barbara, ca",ca,NA,1.4984251260757446,34,62500,0
2005,"santa rosa, ca",ca,461359,1.5017582178115845,38,65000,0
2005,,,NA,1.5268807411193848,34,48500,NA
2005,"scranton--wilkes-barre--hazleton, pa",pa,548529,1.514758586883545,40,48000,NA
2005,"seattle-tacoma-bellevue, wa",wa,3202388,1.5016061067581177,36,65000,0
2005,"sheboygan, wi",wi,113650,1.503299355506897,39,56800,NA
2005,"shreveport-bossier city, la",la,381444,1.524533987045288,35,40000,NA
2005,,,NA,1.5220354795455933,33,52500,NA
2005,,,NA,1.5212481021881104,36,47300,NA
2005,"spartanburg, sc",sc,265919,1.5170458555221558,36,45000,NA
2005,"spokane-spokane valley, wa",wa,440145,1.5101828575134277,35,50360,NA
2005,"springfield, il",il,205016,1.5117671489715576,38,53120,NA
2005,"springfield, ma",ma,691924,1.514875888824463,37,54890,NA
2005,"springfield, mo",mo,400373,1.5054528713226318,36,45928,NA
2005,"springfield, oh",oh,141543,1.52046799659729,38,48200,NA
2005,"state college, pa",pa,141643,1.4973359107971191,29,46800,NA
2005,"stockton-lodi, ca",ca,654451,1.4987541437149048,31,55000,0
2005,"sumter, sc",sc,104885,1.5336754322052002,35,39000,NA
2005,"syracuse, ny",ny,646130,1.5120532512664795,37,53000,NA
2005,"tallahassee, fl",fl,341471,1.5153656005859375,31,46100,NA
2005,"tampa-st. petersburg-clearwater, fl",fl,2638814,1.5122120380401611,40,49000,NA
2005,"terre haute, in",in,169110,1.5055958032608032,36,40500,NA
2005,"toledo, oh",oh,673162,1.5081534385681152,35,50000,NA
2005,"trenton, nj",nj,361882,1.5105502605438232,37,80000,NA
2005,"tucson, az",az,948965,1.5089350938796997,35,46200,NA
2005,,,NA,1.508687138557434,36,47400,NA
2005,"tyler, tx",tx,189910,1.5206633806228638,35,42300,NA
2005,"urban honolulu, hi",hi,900340,1.5145946741104126,38,71300,NA
2005,"utica-rome, ny",ny,294436,1.5084278583526611,39,47500,NA
2005,"vallejo-fairfield, ca",ca,406605,1.5089311599731445,34,70000,0
2005,"vineland-bridgeton, nj",nj,NA,1.5132691860198975,35,53500,NA
2005,"virginia beach-norfolk-newport news, va-nc",va,1659317,1.5156360864639282,35,59000,NA
2005,"visalia-porterville, ca",ca,403653,1.5061657428741455,28,39204,0
2005,"waco, tx",tx,223819,1.5102335214614868,31,42800,NA
2005,"washington-arlington-alexandria, dc-va-md-wv",dc,5229267,1.5110260248184204,35,85000,0
2005,"wausau, wi",wi,127532,1.4916681051254272,39,55440,NA
2005,"wichita, ks",ks,583759,1.5036661624908447,35,52069,NA
2005,"wichita falls, tx",tx,149800,1.5102499723434448,36,45600,NA
2005,"williamsport, pa",pa,117687,1.5133346319198608,40,47000,NA
2005,"winston-salem, nc",nc,452906,1.5134831666946411,37,49420,NA
2005,"worcester, ma-ct",ma,787246,1.5066065788269043,36,65000,0
2005,"yakima, wa",wa,228163,1.489790439605713,31,41900,NA
2005,"york-hanover, pa",pa,406555,1.5050965547561646,39,55910,NA
2005,"youngstown-warren-boardman, oh-pa",oh,580716,1.5230075120925903,41,46000,0
2005,"yuba city, ca",ca,154699,1.514048457145691,31,50700,0
2005,"yuma, az",az,180194,1.5125385522842407,34,42000,NA
2006,"akron, oh",oh,700013,1.5178996324539185,37,56000,NA
2006,"albany-schenectady-troy, ny",ny,850541,1.5127360820770264,38,64400,NA
2006,"albuquerque, nm",nm,817973,1.5083156824111938,34,50000,NA
2006,"alexandria, la",la,152167,1.5189504623413086,36,43000,NA
2006,"allentown-bethlehem-easton, pa-nj",pa,796488,1.5097359418869019,39,60001,NA
2006,"altoona, pa",pa,126008,1.5210105180740356,40,47240,NA
2006,"amarillo, tx",tx,239878,1.5048400163650513,33,45000,NA
2006,"anchorage, ak",ak,359341,1.4918116331100464,33,70960,NA
2006,"ann arbor, mi",mi,346042,1.4999635219573975,33,65600,NA
2006,"anniston-oxford-jacksonville, al",al,NA,1.5183862447738647,37,43200,NA
2006,"athens-clarke county, ga",ga,183113,1.5177531242370605,28,44600,NA
2006,"atlanta-sandy springs-roswell, ga",ga,5119641,1.5049843788146973,34,63000,NA
2006,"atlantic city-hammonton, nj",nj,269495,1.515138864517212,37,60600,NA
2006,"auburn-opelika, al",al,128217,1.5082992315292358,28,50000,NA
2006,"augusta-richmond county, ga-sc",ga,523038,1.5178202390670776,35,49700,NA
2006,"austin-round rock, tx",tx,1528958,1.4885960817337036,32,60210,0
2006,"bakersfield, ca",ca,768209,1.4820388555526733,29,46500,0
2006,"baltimore-columbia-towson, md",md,2662048,1.5180000066757202,37,71000,0
2006,"bangor, me",me,148197,1.5060418844223022,39,45300,NA
2006,"barnstable town, ma",ma,223351,1.5225201845169067,44,67000,NA
2006,"baton rouge, la",la,764799,1.5112553834915161,32,53800,NA
2006,"battle creek, mi",mi,137445,1.5107741355895996,37,49000,NA
2006,"beaumont-port arthur, tx",tx,373058,1.499040961265564,36,45000,NA
2006,"bellingham, wa",wa,188837,1.5040907859802246,33,52700,NA
2006,"billings, mt",mt,147960,1.5096588134765625,36,54240,NA
2006,"binghamton, ny",ny,246163,1.5126961469650269,38,53700,NA
2006,"birmingham-hoover, al",al,1103572,1.5163685083389282,37,55000,NA
2006,"bloomington, il",il,NA,1.5156365633010864,30,60000,NA
2006,"bloomington, in",in,181852,1.5104507207870483,27,38410,NA
2006,"boise city, id",id,566842,1.497709035873413,33,56800,NA
2006,"boston-cambridge-newton, ma-nh",ma,4473477,1.5123569965362549,37,79000,0
2006,"bremerton-silverdale, wa",wa,239543,1.4951889514923096,38,63000,NA
2006,"bridgeport-stamford-norwalk, ct",ct,888526,1.5110628604888916,39,89200,0
2006,"brownsville-harlingen, tx",tx,376882,1.5195096731185913,28,29000,NA
2006,"buffalo-cheektowaga-niagara falls, ny",ny,1130913,1.5186494588851929,39,54000,NA
2006,"burlington, nc",nc,141472,1.5174204111099243,36,47200,NA
2006,"burlington-south burlington, vt",vt,205515,1.5048174858093262,37,65000,NA
2006,"canton-massillon, oh",oh,407966,1.5172600746154785,39,52000,NA
2006,"cape coral-fort myers, fl",fl,565956,1.505034327507019,42,56000,NA
2006,"champaign-urbana, il",il,221056,1.4922423362731934,29,51500,NA
2006,"charleston-north charleston, sc",sc,617619,1.514398217201233,35,53000,NA
2006,"charlotte-concord-gastonia, nc-sc",nc,1583869,1.50681734085083,35,56980,NA
2006,"charlottesville, va",va,190460,1.5237257480621338,35,60000,NA
2006,"chattanooga, tn-ga",tn,510542,1.516946792602539,38,47900,NA
2006,"chicago-naperville-elgin, il-in-wi",il,9398855,1.5068553686141968,35,65400,0
2006,"chico, ca",ca,216933,1.5115549564361572,34,51100,0
2006,"cincinnati, oh-ky-in",oh,2122711,1.5113646984100342,36,60350,NA
2006,"clarksville, tn-ky",tn,252809,1.5014780759811401,32,46800,NA
2006,"cleveland-elyria, oh",oh,2106336,1.5170279741287231,39,55800,NA
2006,"college station-bryan, tx",tx,200435,1.4899226427078247,23,42000,NA
2006,"colorado springs, co",co,601150,1.50201416015625,33,62000,NA
2006,"columbia, mo",mo,159691,1.5132250785827637,31,49100,NA
2006,"columbia, sc",sc,705320,1.5153191089630127,35,54900,NA
2006,"columbus, oh",oh,1737170,1.5058505535125732,34,59700,NA
2006,"corpus christi, tx",tx,411889,1.5113255977630615,33,40700,NA
2006,"dallas-fort worth-arlington, tx",tx,5999411,1.4972721338272095,32,58200,NA
2006,"daphne-fairhope-foley, al",al,168516,1.5056949853897095,38,50000,NA
2006,"davenport-moline-rock island, ia-il",ia,373818,1.507560133934021,37,52000,NA
2006,"dayton, oh",oh,841558,1.513502597808838,37,52000,NA
2006,"decatur, al",al,148172,1.5091331005096436,38,44000,NA
2006,"decatur, il",il,109025,1.5214117765426636,40,52000,NA
2006,"deltona-daytona beach-ormond beach, fl",fl,494302,1.5070862770080566,42,46000,NA
2006,"denver-aurora-lakewood, co",co,2399620,1.4966217279434204,35,64000,NA
2006,"des moines-west des moines, ia",ia,533704,1.5113763809204102,35,61000,NA
2006,"detroit-warren-dearborn, mi",mi,4484542,1.5104975700378418,37,61400,NA
2006,"dover, de",de,148041,1.522727608680725,34,53240,NA
2006,"durham-chapel hill, nc",nc,468250,1.5133252143859863,34,55030,NA
2006,"eau claire, wi",wi,155893,1.4983881711959839,36,54000,NA
2006,"elkhart-goshen, in",in,196691,1.502037525177002,33,54500,NA
2006,"el paso, tx",tx,720756,1.5203046798706055,30,33500,NA
2006,"erie, pa",pa,279929,1.5086511373519897,38,47130,0
2006,"eugene, or",or,NA,1.5061396360397339,37,49100,NA
2006,"evansville, in-ky",in,348728,1.5198603868484497,37,56000,NA
2006,"fayetteville, nc",nc,348072,1.5154600143432617,32,44450,NA
2006,"fayetteville-springdale-rogers, ar-mo",ar,430316,1.4959380626678467,32,48700,NA
2006,"flagstaff, az",az,126029,1.508142113685608,31,50000,NA
2006,"flint, mi",mi,437395,1.5156142711639404,36,52000,NA
2006,"florence-muscle shoals, al",al,142454,1.52359139919281,39,49050,NA
2006,"fort collins, co",co,281215,1.4998259544372559,33,66500,NA
2006,"fort wayne, in",in,406112,1.5037428140640259,35,53000,NA
2006,"fresno, ca",ca,878024,1.496346354484558,29,46000,0
2006,"gadsden, al",al,102854,1.519844651222229,38,38400,NA
2006,"gainesville, fl",fl,253757,1.51029372215271,31,45400,NA
2006,"glens falls, ny",ny,127944,1.5017045736312866,39,55400,NA
2006,"goldsboro, nc",nc,112697,1.5057522058486938,35,42000,NA
2006,"grand junction, co",co,133651,1.5085999965667725,38,49700,NA
2006,"grand rapids-wyoming, mi",mi,770744,1.504007339477539,34,56200,NA
2006,"greeley, co",co,NA,1.4975167512893677,31,59000,NA
2006,,,NA,1.498911738395691,35,59000,NA
2006,"greensboro-high point, nc",nc,685582,1.5149919986724854,36,50000,NA
2006,"greenville, nc",nc,168607,1.521520972251892,32,45300,NA
2006,"greenville-anderson-mauldin, sc",sc,602989,1.5087286233901978,37,49600,NA
2006,"gulfport-biloxi-pascagoula, ms",ms,NA,1.5024495124816895,37,51600,NA
2006,"harrisburg-carlisle, pa",pa,525594,1.5130133628845215,39,63000,NA
2006,"hartford-west hartford-east hartford, ct",ct,1182625,1.5124423503875732,38,75000,0
2006,"hattiesburg, ms",ms,135356,1.5203514099121094,29,46300,NA
2006,"hickory-lenoir-morganton, nc",nc,356726,1.5034561157226562,38,47200,NA
2006,"houma-thibodaux, la",la,NA,1.5020208358764648,35,50200,NA
2006,"houston-the woodlands-sugar land, tx",tx,5484883,1.4993380308151245,32,55000,NA
2006,"huntsville, al",al,379304,1.5055010318756104,37,59000,NA
2006,"indianapolis-carmel-anderson, in",in,1671898,1.5072613954544067,35,59500,NA
2006,"iowa city, ia",ia,144271,1.5008060932159424,31,54000,NA
2006,"jackson, mi",mi,162783,1.4897295236587524,37,50000,NA
2006,"jackson, ms",ms,530664,1.521480917930603,34,48800,NA
2006,"jackson, tn",tn,112160,1.521624207496643,35,45270,NA
2006,"jacksonville, fl",fl,1279132,1.510667324066162,37,57200,NA
2006,"jacksonville, nc",nc,161054,1.4543890953063965,25,42380,NA
2006,"janesville-beloit, wi",wi,NA,1.5090382099151611,36,57000,NA
2006,"johnstown, pa",pa,145822,1.5013726949691772,41,44700,NA
2006,"joplin, mo",mo,168415,1.5117260217666626,36,39500,NA
2006,"kalamazoo-portage, mi",mi,321523,1.50987708568573,34,51000,NA
2006,"kankakee, il",il,NA,1.5126924514770508,34,59500,NA
2006,"kansas city, mo-ks",mo,1984954,1.509818196296692,36,61004,0
2006,"kennewick-richland, wa",wa,NA,1.4962148666381836,31,51600,NA
2006,"killeen-temple, tx",tx,NA,1.5147192478179932,29,48000,NA
2006,"kingsport-bristol-bristol, tn-va",tn,301615,1.509518027305603,41,41000,NA
2006,"knoxville, tn",tn,671227,1.511508822441101,38,50730,NA
